price,monthly_fee,living_area,number_rooms,type,address
2500000,3500,75.5,3,house,"Storgatan 12, Stockholm"
3200000,4200,90.0,4,house,"Kungsgatan 22, Malmö"
2800000,3800,82.0,3,house,"Södra Promenaden 15, Linköping"
3500000,4500,95.0,4,house,"Västra Storgatan 10, Västerås"
2950000,4000,85.0,3,house,"Trädgårdsgatan 4, Jönköping"
2650000,3600,78.0,3,house,"Kyrkogatan 18, Lund"
3300000,4300,92.0,4,house,"Stationsgatan 6, Borås"
2750000,3700,80.0,3,house,"Rådhusgatan 25, Södertälje"
3600000,4600,97.0,4,house,"Vasagatan 11, Halmstad"
3000000,4100,87.0,3,house,"Brogatan 20, Växjö"
2550000,3550,76.0,3,house,"Parkgatan 16, Östersund"
3400000,4400,93.0,4,house,"Torggatan 13, Luleå"
2850000,3850,81.0,3,house,"Repslagaregatan 21, Falun"
3700000,4700,98.0,4,house,"Slottsgatan 8, Kristianstad"
3050000,4150,88.0,3,house,"Östergatan 14, Skövde"
2600000,3650,77.0,3,house,"Strandvägen 9, Motala"
3450000,4450,94.0,4,house,"Södergatan 3, Trelleborg"
2900000,3900,83.0,3,house,"Kyrkvägen 7, Lidköping"
3750000,4750,99.0,4,house,"Trädgårdsvägen 11, Sandviken"
3100000,4200,89.0,3,house,"Parkallén 5, Nyköping"
2700000,3750,79.0,3,house,"Ågatan 2, Katrineholm"
3500000,4500,95.0,4,house,"Esplanaden 3, Enköping"
2950000,3950,84.0,3,house,"Östra Storgatan 6, Lerum"
3800000,4800,100.0,4,house,"Slottsvägen 19, Ystad"
3150000,4250,90.0,3,house,"Allégatan 4, Ängelholm"
